provincia,ano,semana,total_casos,periodo
ALTO AMAZONAS,2009,1,46,2009.0188679245282
ALTO AMAZONAS,2009,2,64,2009.0377358490566
ALTO AMAZONAS,2009,3,84,2009.0566037735848
ALTO AMAZONAS,2009,4,83,2009.0754716981132
ALTO AMAZONAS,2009,5,64,2009.0943396226414
ALTO AMAZONAS,2009,6,46,2009.1132075471698
ALTO AMAZONAS,2009,7,65,2009.132075471698
ALTO AMAZONAS,2009,8,84,2009.1509433962265
ALTO AMAZONAS,2009,9,108,2009.1698113207547
ALTO AMAZONAS,2009,10,156,2009.188679245283
ALTO AMAZONAS,2009,11,105,2009.2075471698113
ALTO AMAZONAS,2009,12,81,2009.2264150943397
ALTO AMAZONAS,2009,13,78,2009.245283018868
ALTO AMAZONAS,2009,14,50,2009.2641509433963
ALTO AMAZONAS,2009,15,80,2009.2830188679245
ALTO AMAZONAS,2009,16,76,2009.301886792453
ALTO AMAZONAS,2009,17,57,2009.3207547169811
ALTO AMAZONAS,2009,18,41,2009.3396226415093
ALTO AMAZONAS,2009,19,47,2009.3584905660377
ALTO AMAZONAS,2009,20,49,2009.377358490566
ALTO AMAZONAS,2009,21,51,2009.3962264150944
ALTO AMAZONAS,2009,22,32,2009.4150943396226
ALTO AMAZONAS,2009,23,33,2009.433962264151
ALTO AMAZONAS,2009,24,21,2009.4528301886792
ALTO AMAZONAS,2009,25,21,2009.4716981132076
ALTO AMAZONAS,2009,26,40,2009.4905660377358
ALTO AMAZONAS,2009,27,44,2009.5094339622642
ALTO AMAZONAS,2009,28,26,2009.5283018867924
ALTO AMAZONAS,2009,29,18,2009.5471698113208
ALTO AMAZONAS,2009,30,13,2009.566037735849
ALTO AMAZONAS,2009,31,34,2009.5849056603774
ALTO AMAZONAS,2009,32,39,2009.6037735849056
ALTO AMAZONAS,2009,33,26,2009.622641509434
ALTO AMAZONAS,2009,34,21,2009.6415094339623
ALTO AMAZONAS,2009,35,25,2009.6603773584907
ALTO AMAZONAS,2009,36,25,2009.6792452830189
ALTO AMAZONAS,2009,37,20,2009.698113207547
ALTO AMAZONAS,2009,38,22,2009.7169811320755
ALTO AMAZONAS,2009,39,16,2009.7358490566037
ALTO AMAZONAS,2009,40,22,2009.754716981132
ALTO AMAZONAS,2009,41,20,2009.7735849056603
ALTO AMAZONAS,2009,42,10,2009.7924528301887
ALTO AMAZONAS,2009,43,21,2009.811320754717
ALTO AMAZONAS,2009,44,17,2009.8301886792453
ALTO AMAZONAS,2009,45,6,2009.8490566037735
ALTO AMAZONAS,2009,46,15,2009.867924528302
ALTO AMAZONAS,2009,47,9,2009.8867924528302
ALTO AMAZONAS,2009,48,5,2009.9056603773586
ALTO AMAZONAS,2009,49,11,2009.9245283018868
ALTO AMAZONAS,2009,50,13,2009.9433962264152
ALTO AMAZONAS,2009,51,2,2009.9622641509434
ALTO AMAZONAS,2009,52,13,2009.9811320754718
ALTO AMAZONAS,2009,53,22,2010.0
ALTO AMAZONAS,2010,1,20,2010.0188679245282
ALTO AMAZONAS,2010,2,22,2010.0377358490566
ALTO AMAZONAS,2010,3,13,2010.0566037735848
ALTO AMAZONAS,2010,4,13,2010.0754716981132
ALTO AMAZONAS,2010,5,21,2010.0943396226414
ALTO AMAZONAS,2010,6,13,2010.1132075471698
ALTO AMAZONAS,2010,7,10,2010.132075471698
ALTO AMAZONAS,2010,8,9,2010.1509433962265
ALTO AMAZONAS,2010,9,6,2010.1698113207547
ALTO AMAZONAS,2010,10,6,2010.188679245283
ALTO AMAZONAS,2010,11,8,2010.2075471698113
ALTO AMAZONAS,2010,12,11,2010.2264150943397
ALTO AMAZONAS,2010,13,10,2010.245283018868
